CountryName,E3,E3D,E3R,F1,H1B,H1B1,J1,L1,O1,TN
Algeria,0,0,0,161,53,0,88,8,2,0
Angola,0,0,0,273,2,0,39,20,1,0
Benin,0,0,0,81,5,0,60,0,1,0
Botswana,0,0,0,180,5,0,119,0,1,0
Burkina Faso,0,0,0,75,8,0,27,1,1,0
Burundi,0,0,0,39,1,0,6,0,0,0
Cameroon,0,0,0,423,62,0,116,9,1,0
Cape Verde,0,0,0,21,0,0,2,2,0,0
Central African Republic,0,0,0,16,2,0,5,1,0,0
Chad,0,0,0,32,4,0,19,0,0,0
Comoros,0,0,0,1,0,0,2,0,0,0
Republic of the Congo,0,0,0,163,9,0,43,5,1,0
Democratic Republic of the Congo,0,0,0,71,1,0,18,0,0,0
Cote dIvoire ,0,0,0,246,19,0,81,1,0,0
Djibouti,0,0,0,11,0,0,4,0,0,0
Egypt,0,0,0,936,341,0,1629,61,11,0
Equatorial Guinea,0,0,0,27,0,0,2,0,0,0
Eritrea,0,0,0,61,1,0,43,0,0,0
Ethiopia,0,0,0,285,31,0,117,6,0,0
Gabon,0,0,0,86,6,0,5,0,0,0
The Gambia,0,0,0,160,7,0,7,1,0,0
Ghana,0,0,0,583,85,0,468,7,8,0
Guinea,0,0,0,175,2,0,79,0,0,0
Guinea-Bissau,0,0,0,4,1,0,1,0,0,0
Kenya,0,0,0,2329,154,0,369,10,5,0
Lesotho,0,0,0,12,1,0,6,0,0,0
Liberia,0,0,0,132,5,0,15,0,0,0
Libya,0,0,0,19,6,0,0,0,0,0
Madagascar,0,0,0,29,12,0,75,0,0,0
Malawi,0,0,0,189,5,0,66,5,0,0
Mali,0,0,0,174,8,0,66,1,2,0
Mauritania,0,0,0,248,5,0,7,1,1,0
Mauritius,0,0,0,66,15,0,27,4,1,0
Morocco,0,0,0,952,104,0,396,15,4,0
Mozambique,0,0,0,53,1,0,58,0,0,0
Namibia,0,0,0,39,9,0,82,4,0,0
Niger,0,0,0,181,6,0,27,1,0,0
Nigeria,0,0,0,982,263,0,284,57,12,0
Rwanda,0,0,0,111,3,0,34,1,0,0
Sao Tome and Principe,0,0,0,6,0,0,0,0,0,0
Senegal,0,0,0,387,33,0,149,4,4,0
Seychelles,0,0,0,6,3,0,5,0,0,0
Sierra Leone,0,0,0,46,7,0,10,0,0,0
Somalia,0,0,0,16,2,0,3,0,3,0
South Africa,0,0,0,701,1345,0,2922,557,30,0
Sudan,0,0,0,229,36,0,18,2,0,0
Swaziland,0,0,0,17,3,0,21,0,0,0
Tanzania,0,0,0,781,39,0,447,1,0,0
Togo,0,0,0,150,6,0,28,2,0,0
Tunisia,0,0,0,230,34,0,158,9,5,0
Uganda,0,0,0,358,25,0,158,0,1,0
Zambia,0,0,0,206,12,0,144,3,0,0
Zimbabwe,0,0,0,752,61,0,181,15,2,0
Afghanistan,0,0,0,22,1,0,28,5,0,0
Bahrain,0,0,0,226,5,0,33,0,0,0
Bangladesh,0,0,0,1395,678,0,169,19,1,0
Bhutan,0,0,0,44,0,0,12,0,0,0
Brunei,0,0,0,9,2,0,3,3,0,0
Burma,0,0,0,393,63,0,34,1,0,0
Cambodia,0,0,0,64,1,0,35,1,0,0
China,0,0,0,16303,5775,0,6470,1154,136,0
Taiwan,0,0,0,14709,2209,0,1111,233,18,0
Hong Kong,0,0,0,592,199,0,87,22,3,0
India,0,0,0,15286,55062,0,3288,4206,176,0
Indonesia,0,0,0,6460,671,0,544,193,5,0
Iran,0,0,0,450,220,0,149,35,10,0
Iraq,0,0,0,32,105,0,11,1,7,0
Israel,0,0,0,1772,1030,0,2582,522,77,0
Japan,0,0,0,33762,3338,0,8041,7033,136,0
Jordan,0,0,0,771,351,0,368,14,9,0
North Korea,0,0,0,40,2,0,0,0,0,0
South Korea,0,0,0,20883,1911,0,4022,835,41,0
Kuwait,0,0,0,1441,13,0,41,0,0,0
Laos,0,0,0,56,2,0,29,0,0,0
Lebanon,0,0,0,715,224,0,388,23,22,0
Malaysia,0,0,0,2131,907,0,551,336,8,0
Maldives,0,0,0,6,0,0,2,0,0,0
Mongolia,0,0,0,919,12,0,210,4,4,0
Nepal,0,0,0,800,148,0,150,5,8,0
Oman,0,0,0,366,2,0,97,2,0,0
Pakistan,0,0,0,1949,1933,0,736,132,48,0
Palestinian Authority Travel Document,0,0,0,138,19,0,107,0,1,0
Philippines,0,0,0,759,3064,0,765,475,38,0
Qatar,0,0,0,367,0,0,52,0,0,0
Saudi Arabia,0,0,0,3893,25,0,265,40,7,0
Singapore,0,0,0,1322,547,0,517,287,8,0
Sri Lanka,0,0,0,642,361,0,95,21,2,0
Syria,0,0,0,269,250,0,215,13,12,0
Thailand,0,0,0,3982,464,0,1291,69,5,0
United Arab Emirates,0,0,0,1417,3,0,30,0,0,0
Vietnam,0,0,0,886,28,0,418,11,1,0
Yemen,0,0,0,386,12,0,42,0,0,0
Albania,0,0,0,432,22,0,592,2,2,0
Andorra,0,0,0,11,0,0,7,0,0,0
Armenia,0,0,0,116,75,0,705,6,8,0
